index;date;state;country;confirmed;confirmed_DR;confirmed_filtered;confirmed_filtered_DR
0;2020-01-22;Alberta;Canada;0;;0.0;
1;2020-01-22;no;Korea, South;1;;0.7999999999999997;
2;2020-01-22;no;Kosovo;0;;0.0;
3;2020-01-22;no;Kuwait;0;;0.0;
4;2020-01-22;no;Kyrgyzstan;0;;0.0;
5;2020-01-22;no;Laos;0;;0.0;
6;2020-01-22;no;Latvia;0;;0.0;
7;2020-01-22;no;Lebanon;0;;0.0;
8;2020-01-22;no;Lesotho;0;;0.0;
9;2020-01-22;no;Liberia;0;;0.0;
10;2020-01-22;no;Libya;0;;0.0;
11;2020-01-22;no;Liechtenstein;0;;0.0;
12;2020-01-22;no;Lithuania;0;;0.0;
13;2020-01-22;no;Luxembourg;0;;0.0;
14;2020-01-22;no;MS Zaandam;0;;0.0;
15;2020-01-22;no;Madagascar;0;;0.0;
16;2020-01-22;no;Malawi;0;;0.0;
17;2020-01-22;no;Malaysia;0;;-0.7999999999999988;
18;2020-01-22;no;Maldives;0;;0.0;
19;2020-01-22;no;Mali;0;;0.0;
20;2020-01-22;no;Malta;0;;0.0;
21;2020-01-22;no;Mauritania;0;;0.0;
22;2020-01-22;no;Mauritius;0;;0.0;
23;2020-01-22;no;Mexico;0;;0.0;
24;2020-01-22;no;Moldova;0;;0.0;
25;2020-01-22;no;Monaco;0;;0.0;
26;2020-01-22;no;Mongolia;0;;0.0;
27;2020-01-22;no;Montenegro;0;;0.0;
28;2020-01-22;no;Morocco;0;;0.0;
29;2020-01-22;no;Mozambique;0;;0.0;
30;2020-01-22;no;Kenya;0;;0.0;
31;2020-01-22;no;Kazakhstan;0;;0.0;
32;2020-01-22;no;Jordan;0;;0.0;
33;2020-01-22;no;Japan;2;;1.5999999999999996;
34;2020-01-22;no;Estonia;0;;0.0;
35;2020-01-22;no;Eswatini;0;;0.0;
36;2020-01-22;no;Ethiopia;0;;0.0;
37;2020-01-22;no;Fiji;0;;0.0;
38;2020-01-22;no;Finland;0;;0.0;
39;2020-01-22;no;France;0;;-0.19999999999999962;
40;2020-01-22;no;Gabon;0;;0.0;
41;2020-01-22;no;Gambia;0;;0.0;
42;2020-01-22;no;Georgia;0;;0.0;
43;2020-01-22;no;Germany;0;;0.0;
44;2020-01-22;no;Ghana;0;;0.0;
45;2020-01-22;no;Greece;0;;0.0;
46;2020-01-22;no;Grenada;0;;0.0;
47;2020-01-22;no;Guatemala;0;;0.0;
48;2020-01-22;no;Namibia;0;;0.0;
49;2020-01-22;no;Guinea;0;;0.0;
50;2020-01-22;no;Guyana;0;;0.0;
51;2020-01-22;no;Haiti;0;;0.0;
52;2020-01-22;no;Holy See;0;;0.0;
53;2020-01-22;no;Honduras;0;;0.0;
54;2020-01-22;no;Hungary;0;;0.0;
55;2020-01-22;no;Iceland;0;;0.0;
56;2020-01-22;no;India;0;;0.0;
57;2020-01-22;no;Indonesia;0;;0.0;
58;2020-01-22;no;Iran;0;;0.0;
59;2020-01-22;no;Iraq;0;;0.0;
60;2020-01-22;no;Ireland;0;;0.0;
61;2020-01-22;no;Israel;0;;0.0;
62;2020-01-22;no;Italy;0;;0.0;
63;2020-01-22;no;Jamaica;0;;0.0;
64;2020-01-22;no;Guinea-Bissau;0;;0.0;
65;2020-01-22;no;Eritrea;0;;0.0;
66;2020-01-22;no;Netherlands;0;;0.0;
67;2020-01-22;no;Nicaragua;0;;0.0;
68;2020-01-22;no;Sri Lanka;0;;0.0;
69;2020-01-22;no;Sudan;0;;0.0;
70;2020-01-22;no;Suriname;0;;0.0;
71;2020-01-22;no;Sweden;0;;0.0;
72;2020-01-22;no;Switzerland;0;;0.0;
73;2020-01-22;no;Syria;0;;0.0;
74;2020-01-22;no;Taiwan*;1;;0.8000000000000003;
75;2020-01-22;no;Tajikistan;0;;0.0;
76;2020-01-22;no;Tanzania;0;;0.0;
77;2020-01-22;no;Thailand;2;;1.7999999999999994;
78;2020-01-22;no;Timor-Leste;0;;0.0;
79;2020-01-22;no;Togo;0;;0.0;
80;2020-01-22;no;Trinidad and Tobago;0;;0.0;
81;2020-01-22;no;Tunisia;0;;0.0;
82;2020-01-22;no;Turkey;0;;0.0;
83;2020-01-22;no;US;1;;0.4;
84;2020-01-22;no;Uganda;0;;0.0;
85;2020-01-22;no;Ukraine;0;;0.0;
86;2020-01-22;no;United Arab Emirates;0;;0.0;
87;2020-01-22;no;United Kingdom;0;;0.0;
88;2020-01-22;no;Uruguay;0;;0.0;
89;2020-01-22;no;Uzbekistan;0;;0.0;
90;2020-01-22;no;Venezuela;0;;0.0;
91;2020-01-22;no;Vietnam;0;;0.7999999999999995;
92;2020-01-22;no;West Bank and Gaza;0;;0.0;
93;2020-01-22;no;Western Sahara;0;;0.0;
94;2020-01-22;no;Yemen;0;;0.0;
95;2020-01-22;no;Zambia;0;;0.0;
96;2020-01-22;no;Zimbabwe;0;;0.0;
97;2020-01-22;no;Spain;0;;0.0;
98;2020-01-22;no;South Sudan;0;;0.0;
99;2020-01-22;no;South Africa;0;;0.0;
100;2020-01-22;no;Somalia;0;;0.0;
101;2020-01-22;no;Niger;0;;0.0;
102;2020-01-22;no;Nigeria;0;;0.0;
103;2020-01-22;no;North Macedonia;0;;0.0;
104;2020-01-22;no;Norway;0;;0.0;
105;2020-01-22;no;Oman;0;;0.0;
106;2020-01-22;no;Pakistan;0;;0.0;
107;2020-01-22;no;Panama;0;;0.0;
108;2020-01-22;no;Papua New Guinea;0;;0.0;
109;2020-01-22;no;Paraguay;0;;0.0;
110;2020-01-22;no;Peru;0;;0.0;
111;2020-01-22;no;Philippines;0;;0.0;
112;2020-01-22;no;Poland;0;;0.0;
113;2020-01-22;no;Portugal;0;;0.0;
114;2020-01-22;no;Qatar;0;;0.0;
115;2020-01-22;no;New Zealand;0;;0.0;
116;2020-01-22;no;Romania;0;;0.0;
117;2020-01-22;no;Rwanda;0;;0.0;
118;2020-01-22;no;Saint Kitts and Nevis;0;;0.0;
119;2020-01-22;no;Saint Lucia;0;;0.0;
120;2020-01-22;no;Saint Vincent and the Grenadines;0;;0.0;
121;2020-01-22;no;San Marino;0;;0.0;
122;2020-01-22;no;Sao Tome and Principe;0;;0.0;
123;2020-01-22;no;Saudi Arabia;0;;0.0;
124;2020-01-22;no;Senegal;0;;0.0;
125;2020-01-22;no;Serbia;0;;0.0;
126;2020-01-22;no;Seychelles;0;;0.0;
127;2020-01-22;no;Sierra Leone;0;;0.0;
128;2020-01-22;no;Singapore;0;;0.20000000000000082;
129;2020-01-22;no;Slovakia;0;;0.0;
130;2020-01-22;no;Slovenia;0;;0.0;
131;2020-01-22;no;Russia;0;;0.0;
132;2020-01-22;no;Equatorial Guinea;0;;0.0;
133;2020-01-22;no;Nepal;0;;-0.19999999999999965;
134;2020-01-22;no;Egypt;0;;0.0;
135;2020-01-22;Inner Mongolia;China;0;;-1.199999999999998;
136;2020-01-22;Isle of Man;United Kingdom;0;;0.0;
137;2020-01-22;Jiangsu;China;1;;-2.199999999999995;
138;2020-01-22;Jiangxi;China;2;;0.400000000000002;
139;2020-01-22;Jilin;China;0;;0.2000000000000006;
140;2020-01-22;Liaoning;China;2;;-0.999999999999997;
141;2020-01-22;Macau;China;1;;0.8;
142;2020-01-22;Manitoba;Canada;0;;0.0;
143;2020-01-22;Martinique;France;0;;0.0;
144;2020-01-22;Mayotte;France;0;;0.0;
145;2020-01-22;Montserrat;United Kingdom;0;;0.0;
146;2020-01-22;New Brunswick;Canada;0;;0.0;
147;2020-01-22;New Caledonia;France;0;;0.0;
148;2020-01-22;New South Wales;Australia;0;;-0.599999999999999;
149;2020-01-22;Newfoundland and Labrador;Canada;0;;0.0;
150;2020-01-22;Ningxia;China;1;;0.6000000000000002;
151;2020-01-22;Northern Territory;Australia;0;;0.0;
152;2020-01-22;Northwest Territories;Canada;0;;0.0;
153;2020-01-22;Nova Scotia;Canada;0;;0.0;
154;2020-01-22;Ontario;Canada;0;;-0.19999999999999973;
155;2020-01-22;Prince Edward Island;Canada;0;;0.0;
156;2020-01-22;Qinghai;China;0;;-0.19999999999999965;
157;2020-01-22;Quebec;Canada;0;;0.0;
158;2020-01-22;Queensland;Australia;0;;0.0;
159;2020-01-22;Reunion;France;0;;0.0;
160;2020-01-22;Saint Barthelemy;France;0;;0.0;
161;2020-01-22;Saint Pierre and Miquelon;France;0;;0.0;
162;2020-01-22;Saskatchewan;Canada;0;;0.0;
163;2020-01-22;Shaanxi;China;0;;-2.199999999999998;
164;2020-01-22;Hubei;China;444;;342.1999999999998;
165;2020-01-22;Hong Kong;China;0;;-0.4;
166;2020-01-22;Henan;China;5;;-9.799999999999976;
167;2020-01-22;Heilongjiang;China;0;;-1.3999999999999984;
168;2020-01-22;no;El Salvador;0;;0.0;
169;2020-01-22;Anguilla;United Kingdom;0;;0.0;
170;2020-01-22;Anhui;China;1;;-4.799999999999992;
171;2020-01-22;Aruba;Netherlands;0;;0.0;
172;2020-01-22;Australian Capital Territory;Australia;0;;0.0;
173;2020-01-22;Beijing;China;14;;10.8;
174;2020-01-22;Bermuda;United Kingdom;0;;0.0;
175;2020-01-22;Bonaire, Sint Eustatius and Saba;Netherlands;0;;0.0;
176;2020-01-22;British Columbia;Canada;0;;0.0;
177;2020-01-22;British Virgin Islands;United Kingdom;0;;0.0;
178;2020-01-22;Cayman Islands;United Kingdom;0;;0.0;
179;2020-01-22;Channel Islands;United Kingdom;0;;0.0;
180;2020-01-22;Chongqing;China;6;;-2.3999999999999866;
181;2020-01-22;Curacao;Netherlands;0;;0.0;
182;2020-01-22;Shandong;China;2;;-2.599999999999992;
183;2020-01-22;Diamond Princess;Canada;0;;0.0;
184;2020-01-22;Faroe Islands;Denmark;0;;0.0;
185;2020-01-22;French Guiana;France;0;;0.0;
186;2020-01-22;French Polynesia;France;0;;0.0;
187;2020-01-22;Fujian;China;1;;-2.399999999999994;
188;2020-01-22;Gansu;China;0;;-0.199999999999999;
189;2020-01-22;Gibraltar;United Kingdom;0;;0.0;
190;2020-01-22;Grand Princess;Canada;0;;0.0;
191;2020-01-22;Greenland;Denmark;0;;0.0;
192;2020-01-22;Guadeloupe;France;0;;0.0;
193;2020-01-22;Guangdong;China;26;;16.80000000000001;
194;2020-01-22;Guangxi;China;2;;0.6000000000000014;
195;2020-01-22;Guizhou;China;1;;1.3999999999999995;
196;2020-01-22;Hainan;China;4;;1.6000000000000048;
197;2020-01-22;Hebei;China;1;;-1.199999999999997;
198;2020-01-22;Falkland Islands (Malvinas);United Kingdom;0;;0.0;
199;2020-01-22;Shanghai;China;9;;7.799999999999996;
200;2020-01-22;Hunan;China;4;;-2.999999999999993;
201;2020-01-22;no;Dominican Republic;0;;0.0;
202;2020-01-22;no;Bolivia;0;;0.0;
203;2020-01-22;no;Bosnia and Herzegovina;0;;0.0;
204;2020-01-22;no;Botswana;0;;0.0;
205;2020-01-22;no;Brazil;0;;0.0;
206;2020-01-22;no;Brunei;0;;0.0;
207;2020-01-22;no;Bulgaria;0;;0.0;
208;2020-01-22;no;Burkina Faso;0;;0.0;
209;2020-01-22;no;Burma;0;;0.0;
210;2020-01-22;no;Burundi;0;;0.0;
211;2020-01-22;no;Cabo Verde;0;;0.0;
212;2020-01-22;no;Cambodia;0;;0.0;
213;2020-01-22;no;Cameroon;0;;0.0;
214;2020-01-22;no;Chad;0;;0.0;
215;2020-01-22;no;Chile;0;;0.0;
216;2020-01-22;no;Bhutan;0;;0.0;
217;2020-01-22;no;Colombia;0;;0.0;
218;2020-01-22;no;Congo (Brazzaville);0;;0.0;
219;2020-01-22;no;Congo (Kinshasa);0;;0.0;
220;2020-01-22;no;Costa Rica;0;;0.0;
221;2020-01-22;no;Cote d'Ivoire;0;;0.0;
222;2020-01-22;no;Croatia;0;;0.0;
223;2020-01-22;no;Cuba;0;;0.0;
224;2020-01-22;no;Cyprus;0;;0.0;
225;2020-01-22;no;Czechia;0;;0.0;
226;2020-01-22;no;Denmark;0;;0.0;
227;2020-01-22;no;Diamond Princess;0;;0.0;
228;2020-01-22;no;Djibouti;0;;0.0;
229;2020-01-22;no;Dominica;0;;0.0;
230;2020-01-22;Shanxi;China;1;;-0.5999999999999982;
231;2020-01-22;no;Ecuador;0;;0.0;
232;2020-01-22;no;Comoros;0;;0.0;
233;2020-01-22;no;Benin;0;;0.0;
234;2020-01-22;no;Central African Republic;0;;0.0;
235;2020-01-22;Sint Maarten;Netherlands;0;;0.0;
236;2020-01-22;Sichuan;China;5;;0.4000000000000036;
237;2020-01-22;no;Belize;0;;0.0;
238;2020-01-22;South Australia;Australia;0;;0.0;
239;2020-01-22;St Martin;France;0;;0.0;
240;2020-01-22;Tasmania;Australia;0;;0.0;
241;2020-01-22;Tianjin;China;4;;2.8000000000000007;
242;2020-01-22;Tibet;China;0;;0.0;
243;2020-01-22;Turks and Caicos Islands;United Kingdom;0;;0.0;
244;2020-01-22;Victoria;Australia;0;;-0.19999999999999973;
245;2020-01-22;Xinjiang;China;0;;0.4000000000000004;
246;2020-01-22;Yukon;Canada;0;;0.0;
247;2020-01-22;Yunnan;China;1;;-0.7999999999999985;
248;2020-01-22;Zhejiang;China;10;;4.600000000000007;
249;2020-01-22;no;Afghanistan;0;;0.0;
250;2020-01-22;no;Albania;0;;0.0;
251;2020-01-22;Western Australia;Australia;0;;0.0;
252;2020-01-22;no;Andorra;0;;0.0;
253;2020-01-22;no;Belgium;0;;0.0;
254;2020-01-22;no;Algeria;0;;0.0;
255;2020-01-22;no;Barbados;0;;0.0;
256;2020-01-22;no;Bangladesh;0;;0.0;
257;2020-01-22;no;Bahrain;0;;0.0;
258;2020-01-22;no;Bahamas;0;;0.0;
259;2020-01-22;no;Azerbaijan;0;;0.0;
260;2020-01-22;no;Belarus;0;;0.0;
261;2020-01-22;no;Armenia;0;;0.0;
262;2020-01-22;no;Argentina;0;;0.0;
263;2020-01-22;no;Antigua and Barbuda;0;;0.0;
264;2020-01-22;no;Angola;0;;0.0;
265;2020-01-22;no;Austria;0;;0.0;
266;2020-01-23;no;Lithuania;0;;0.0;
267;2020-01-23;no;Liechtenstein;0;;0.0;
268;2020-01-23;no;Libya;0;;0.0;
269;2020-01-23;no;Liberia;0;;0.0;
270;2020-01-23;no;Lesotho;0;;0.0;
